Symbol,sys_name,SGD,WT_SSL,WT_HL,CBC_SSL,CBC1_HL,RRP6_SSL,RRP6-HL
NA,YGR001C ,YGR001C ,452.9,17.66,456.2,47.05,762.1,25.54
NA,YGR001C ,YGR001C ,256.4,18.41,229.6,154.61,251.5,33.27
GOD1,YGR002C ,YGR002C ,165.1,11.87,192.8,33.07,284.7,32.33
NA,YGR003W ,YGR003W ,178.3,12.13,255.6,31.23,287.5,12.84
NA,YGR004W ,YGR004W ,323.8,19.52,234.5,26.83,217.5,39.3
TFG2,YGR005C ,YGR005C ,224.6,40.56,298.6,60.86,231.6,18.11
PRP18,YGR006W ,YGR006W ,81.6,4.73,83.6,43.51,114,40.19
MUQ1,YGR007W ,YGR007W ,1089.2,16.83,974.4,21.68,928.3,22.38
STF2,YGR008C ,YGR008C ,3051.3,N.A.,5152.9,N.A.,910.6,N.A.
SEC9,YGR009C ,YGR009C ,315.6,94.03,417.6,27.89,348.9,43.92
NMA2,YGR010W ,YGR010W ,125,51.82,212.5,23.76,255.5,N.A.
NMA2,YGR010W ,YGR010W ,341.5,N.A.,422.9,43.15,481.7,N.A.
NA,YGR011W ,YGR011W ,172.6,286.76,262,22.85,184.9,N.A.
NA,YGR012W ,YGR012W ,227,44.97,295.2,37.86,179.6,95.45
SNU71,YGR013W ,YGR013W ,167.9,40.15,183,25.09,231.8,44.83
MSB2,YGR014W ,YGR014W ,1744.8,8.57,2002.5,10.33,1339.8,13.46
NA,YGR015C ,YGR015C ,59.9,64.95,81.5,N.A.,112.9,39.53
NA,YGR016W ,YGR016W ,46.4,29.54,35.1,N.A.,47.7,32.07
NA,YGR017W ,YGR017W ,550.9,23.58,654.1,56.37,366.9,23.52
NA,YGR018C ,YGR018C ,119.1,15.77,80.5,71.6,157.4,95.66
UGA1,YGR019W ,YGR019W ,500,N.A.,499,N.A.,243.5,N.A.
VMA7,YGR020C ,YGR020C ,4257.8,19.46,3848.5,28.56,1769.5,23.73
NA,YGR021W ,YGR021W ,402.8,46.19,376.7,90.67,194.4,29.5
NA,YGR022C ,YGR022C ,10.2,N.A.,29.3,N.A.,53.6,53.61
MTL1,YGR023W ,YGR023W ,77.4,N.A.,80.6,N.A.,73.5,N.A.
NA,YGR024C ,YGR024C ,1146.9,11.34,1437.6,21.91,1185.2,19.35
NA,YGR025W ,YGR025W ,74.1,59.23,27.3,123.93,55.9,16.47
NA,YGR026W ,YGR026W ,1038.1,22.72,1167.9,84.49,953.3,49.95
RPS25A,YGR027C ,YGR027C ,3782.4,11.3,4949.6,21.62,3603.4,13.21
